"Ticker","Nome","Negócios","Última (R$)","Variação"
"AZUL4","Azul","58.238.700","1,36","+7,09%"
"COGN3","Cogna","46.897.200","3,05","+4,45%"
"ABEV3","Ambev","37.293.700","12,63","+0,40%"
"BBAS3","Banco do Brasil","36.708.800","21,82","-2,20%"
"B3SA3","B3","29.161.000","13,37","+3,24%"
"BBDC4","Banco Bradesco","28.565.000","17,03","+1,19%"
"MGLU3","Magazine Luiza","27.403.400","10,58","+7,41%"
"BRFS3","BRF","24.145.900","21,04","+0,53%"
"PETR4","Petrobras","21.978.400","31,45","+0,87%"
"ITSA4","Itaúsa","18.471.700","11,15","+1,36%"
"RAIZ4","Raízen","16.239.100","1,29","+1,57%"
"ASAI3","Assaí","14.343.600","10,13","+2,53%"
"LREN3","Lojas Renner","14.180.200","16,22","+2,33%"
"VAMO3","Grupo Vamos","13.944.600","3,95","+1,28%"
"ITUB4","Itaú Unibanco","13.782.700","38,00","+1,66%"
"CMIG4","Cemig","13.340.600","11,10","+1,37%"
"CSAN3","Cosan","13.333.100","7,56","+1,75%"
"MRFG3","Marfrig","13.272.100","26,06","+1,36%"
"VALE3","Vale","12.457.500","57,50","+0,88%"
"RADL3","RaiaDrogasil","12.271.400","17,35","-3,93%"
"ELET3","Eletrobras","11.518.800","47,70","+3,02%"
"GGBR4","Gerdau","10.133.000","16,70","+2,45%"
"BEEF3","Minerva","9.680.600","6,47","-2,56%"
"NATU3","NATURA","9.226.800","8,94","+2,17%"
"CVCB3","CVC","8.468.700","2,02","+0,50%"
"PCAR3","Grupo Pão de Açúcar","8.264.800","4,06","-1,22%"
"ENEV3","Eneva","7.047.700","15,85","-0,44%"
"CPLE6","Copel","6.566.700","12,59","+1,86%"
"BRAV3","3R Petroleum","6.564.400","18,51","+1,98%"
"BPAC11","Banco BTG Pactual","6.509.400","45,87","+0,70%"
"WEGE3","WEG","6.287.600","36,51","-1,19%"
"RCSL4","Recrusul","6.179.600","1,11","+1,83%"
"POMO4","Marcopolo","5.870.100","9,56","+0,74%"
"USIM5","Usiminas","5.813.800","4,53","+0,22%"
"PRIO3","PetroRio","5.744.200","37,97","-0,47%"
"MRVE3","MRV","5.648.800","7,58","+0,26%"
"PETR3","Petrobras","5.569.800","34,24","+1,45%"
"GOAU4","Metalúrgica Gerdau","5.568.300","9,49","+2,59%"
"BBDC3","Banco Bradesco","5.548.500","14,60","+1,32%"
"IFCM3","Infracommerce","5.482.800","0,24","+0,00%"
"YDUQ3","YDUQS","5.223.200","13,98","+6,72%"
"CXSE3","Caixa Seguridade","4.965.200","13,93","-0,07%"
"RAIL3","Rumo","4.952.900","14,86","+0,34%"
"AZTE3","AZT Energia","4.941.800","0,45","-2,17%"
"RENT3","Localiza","4.914.600","38,29","+1,11%"
"BBSE3","BB Seguridade","4.802.600","32,15","+0,12%"
"LWSA3","Locaweb","4.560.600","4,33","+1,88%"
"KLBN11","Klabin","4.453.900","18,40","-0,81%"
"ANIM3","Ânima Educação","4.388.800","3,59","+2,87%"
